Title;Primary hostaddress;Host in cluster;Running on host / cluster;CMDB status;Operating system
RZV-MPR-01;10.1.40.81;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.8.2003
RZV-MPR-02;10.1.40.82;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.8.2003
RZV-MPR-03;10.1.40.83;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.8.2003
RZV-MST-00;;rz2-esx-30.bev.int;CL-CTX;in operation;Windows Server 2016
RZV-MST-11.bev.int;10.2.7.123;;;in operation;Windows Server 2016
RZV-MST-21.bev.int;10.2.7.124;;;in operation;Windows Server 2019 Datacenter
RZV-MST-31.bev.int;;;;in operation;Windows Server 2019
RZV-NAV-01;;RZ1-ESX-31;CL_PU;in operation;Windows Server 2008 R2
RZV-NAV-02.bev.int;10.122.73.50;RZ1-ESX-36;CL_DMZ;in operation;Windows Server 2008 R2
RZV-NBR-01.bev.int;10.2.2.72;RZ1-ESX-50;CL_PU;in operation;Windows Server 2008 R2 Standard
RZV-NBSNAP-01;10.2.2.73;RZ1-ESX-34;CL_PU;in operation;Red Hat Enterprise Linux 9.4
RZV-NCLOUD-01;10.1.42.21;;;in operation;CentOS Linux 7.9.2009
RZV-OCR-01.bev.int;10.2.3.8;;;in operation;Windows Server 2003 Standard
RZV-OCR-02.bev.int;10.2.3.5;;;in operation;Windows Server 2003 Standard
RZV-OCR-03.bev.int;;rz2-esx-32.bev.int;CL_PU;in operation;Windows Server 2019 Datacenter
RZV-OEUADM-02.beu.local;10.70.2.139;RZ2-ESX-41;CL_BEU;in operation;Windows Server 2016
RZV-OEUARC-01;;RZ1-ESX-41;CL_BEU;in operation;Red Hat Enterprise Server 6.10
RZV-OEUCTS-02;;RZ1-ESX-51.bev.int;CL_BEU;in operation;Red Hat Enterprise Server 7.9
RZV-OEUOTD-02;10.70.2.147;RZ1-ESX-41;CL_BEU;in operation;CentOS Linux 7.9.2009
rzv-ogb-01.bev.int;10.1.64.55;RZ1-ESX-46;CL_DB;in operation;Red Hat Enterprise Server 5.10
rzv-oli-01.bev.int;10.1.64.50;RZ1-ESX-46;CL_DB;in operation;Red Hat Enterprise Server 5.9
rzv-opsi-01.bev.int;;;;in operation;Rocky Linux release 8.10
rzv-orc-01.ega.local;;RZ1-ESX-46;CL_DB;in operation;Red Hat Enterprise Server 5.9
rzv-otd-02.bev.int;10.1.64.148;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.9.2009
RZV-OTUADM-02.btu.local;10.75.1.140;RZ1-ESX-37;CL_DMZ;in operation;Windows Server 2019
rzv-otuarc-01.btu.local;10.75.1.142;RZ1-ESX-36;CL_DMZ;in operation;Red Hat Enterprise Linux 8.8
rzv-otucts-02.btu.local;;RZ2-ESX-36;CL_DMZ;in operation;Red Hat Enterprise Server 7.9
rzv-otuotd-02.btu.local;10.75.1.148;RZ1-ESX-37;CL_DMZ;in operation;CentOS Linux 7.9.2009
RZV-OTUSCM-01;10.75.1.91;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.9.2009
rzv-poptest-01.bev.int;10.2.8.101;;;in operation;Rocky Linux 9.5
RZV-POR-01.user.bev.int;10.2.3.120;RZ1-ESX-31;CL_PU;in operation;Windows Server 2003
RZV-POR-02.user.bev.int;10.2.3.122;RZ1-ESX-31;CL_PU;in operation;Windows Server 2003
RZV-PTR-03.bev.int;10.2.2.153;rz2-esx-32.bev.int;CL_PU;in operation;Windows Server 2008 R2 Standard
RZV-PTR-04.bev.int;10.2.2.154;RZ2-ESX-50;CL_PU;in operation;Windows Server 2008 R2 Standard
RZV-PTR-11.bev.int;10.2.3.101;;;in operation;Windows Server 2008 R2 Standard
RZV-PTR-12.bev.int;10.2.3.102;RZ1-ESX-34;CL_PU;in operation;Windows Server 2008 R2 Standard
RZV-PTR-13.bev.int;10.2.3.103;rz2-esx-34.bev.int;CL_PU;in operation;Windows Server 2008 R2 Standard
RZV-PTR-14.bev.int;10.2.3.104;RZ2-ESX-31;CL_PU;in operation;Windows Server 2008 R2 Standard
RZV-PTR-31.bev.int;10.2.2.155;;;in operation;Windows Server 2019 Datacenter
rzv-pupgsql16-01.bev.int;10.1.64.110;RZ2-ESX-46;CL_DB;in operation;Rocky Linux 9.6
RZV-PVS-01;;RZ1-ESX-31;CL_PU;in operation;Red Hat Enterprise Server 5.3
RZV-QLOOK-01;10.1.11.13;RZ1-ESX-39;CL_WEB;in operation;CentOS 6
RZV-QRC-01;10.2.6.12;;;in operation;CentOS Linux 7.8.2003
RZV-REPORT-01.bev.int;10.2.5.11;RZ1-ESX-32;CL_PU;in operation;Windows Server 2008 R2 Standard
RZV-REPORT-02.bev.int;10.2.5.12;RZ2-ESX-31;CL_PU;in operation;Windows Server 2019 Datacenter
RZV-RICOH-03.bev.int;10.2.2.156;rz2-esx-34.bev.int;CL_PU;in operation;Windows Server 2019 Datacenter
RZV-SAMDB-01.bev.int;;;;in operation;Windows Server 2019 Datacenter
RZV-SCM-01;10.1.64.91;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.9.2009
rzv-sde-01.ega.local;;RZ1-ESX-47;CL_DB;in operation;Red Hat Enterprise Server 5.9
RZV-SFTPBMF-01.bev.int;10.1.41.71;RZ1-ESX-36;CL_DMZ;in operation;Windows Server 2019 Datacenter
RZV-SLR-01.bev.int;10.2.7.13;;;in operation;Windows Server 2008 R2 Standard
RZV-SPI-01.bev.int;10.2.3.31;;;in operation;Windows Server 2008 R2 Standard
RZV-SPIDB-01.bev.int;10.2.3.33;RZ1-ESX-33;CL_PU;in operation;Windows Server 2008 R2 Standard
RZV-SQL-01.bev.int;10.1.64.64;RZ1-ESX-37;CL_DMZ;in operation;Windows Server 2008 R2 Standard
RZV-SQLPU-01.bev.int;10.1.64.65;RZ2-ESX-36;CL_DMZ;in operation;Windows Server 2008 R2 Standard
RZV-SSHDL-01;10.2.6.40;;;in operation;Rocky Linux 9.4
RZV-STD-01.bev.int;10.2.6.104;rz2-esx-32.bev.int;CL_PU;in operation;Windows Server 2003 Standard
RZV-STF-01.bev.int;10.2.7.2;;;in operation;Windows Server 2008 R2 Standard
RZV-STF-11.bev.int;10.2.7.115;;;in operation;Windows Server 2019 Datacenter
RZV-STF-12.bev.int;10.2.7.116;;;in operation;Windows Server 2019 Datacenter
