"Komponente Nr.","Gerätename","Systemname","Service-Name","Service-Typ","Service-Klasse","Komponentenklasse","VMs","CPU","RAM (MB)","Storage (GB)"
"K-00002776","apexcentral01","apexcentral01","Virenschutz","Network","Infrastructure","Server","9","26","77824","716"
"K-00002777","apexone01","apexone01","Virenschutz","Network","Infrastructure","Server","9","26","77824","716"
"K-00002778","APOS-CORS-01","APOS-CORS-01","","","","Server","0","0","0","0"
"K-00002787","APOS-EXT-GPP-11","APOS-EXT-GPP-11","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002788","APOS-EXT-GPP-12","APOS-EXT-GPP-12","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002789","APOS-EXT-GPP-13","APOS-EXT-GPP-13","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002790","APOS-EXT-GPP-14","APOS-EXT-GPP-14","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002791","APOS-EXT-GPP-15","APOS-EXT-GPP-15","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002792","APOS-EXT-GPP-21","APOS-EXT-GPP-21","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002793","APOS-EXT-GPP-22","APOS-EXT-GPP-22","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002794","APOS-EXT-GPP-23","APOS-EXT-GPP-23","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002795","APOS-EXT-GPP-24","APOS-EXT-GPP-24","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002796","APOS-EXT-GPP-25","APOS-EXT-GPP-25","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002798","APOS-EXT-GPP-32","APOS-EXT-GPP-32","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002799","APOS-EXT-GPP-33","APOS-EXT-GPP-33","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002826","APOSENTRY-01","APOSENTRY-01","APOS Admin","Supporting Services","Business","Server","1","2","12288","73"
"K-00002883","CAI-01","BEV System","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00002785","APOS-EXT-GPP-02","APOS-EXT-GPP-02","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002786","APOS-EXT-GPP-03","APOS-EXT-GPP-03","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002801","APOS-EXT-TPP-01","APOS-EXT-TPP-01","APOS: RTK Abo","Business Services","Business","Server","6","20","90112","3171"
"K-00002802","APOS-EXT-TPP-02","APOS-EXT-TPP-02","APOS: RTK Abo","Business Services","Business","Server","6","20","90112","3171"
"K-00002812","APOS-INT-GPP-01","APOS-INT-GPP-01","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002814","APOS-INT-GPP-02","APOS-INT-GPP-02","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002813","APOS-INT-GPP-03","APOS-INT-GPP-03","APOS: RTK für die Landwirtschaft","Business Services","Business","Server","21","100","206848","1997"
"K-00002819","APOS-INT-TPP-01","BEV System","","","","Server","0","0","0","0"
"K-00002820","APOS-INT-TPP-02","BEV System","","","","Server","0","0","0","0"
"K-00002821","APOS-INT-TPP-03","","","","","Server","0","0","0","0"
"K-00002822","APOS-MSSQL-01","APOS-MSSQL-01","APOS: RTK Abo","Business Services","Business","Server","6","20","90112","3171"
"K-00000204","RZV-TAS-03","RZV-TAS-03","Netzwerkmanagement","Network","Infrastructure","Server","4","20","43008","2213"
"K-00004969","wsus02","BEV System","","","","Server","0","0","0","0"
"K-00000007","tmcm01","AdminServer","IT Security Beratung","Security and Compliance","Delivery","Server","5","16","45056","880"
"K-00000006","tmcm02","AdminServer","IT Security Beratung","Security and Compliance","Delivery","Server","5","16","45056","880"
"K-00000147","RZV-WIN-01","AD Domain Controller","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00000237","RZV-OTUADM-02","BEV System","OpenText ContentServer","Data","Platform","Server","14","24","98304","8197"
"K-00000278","RZV-IRS-01","Franz Dientl","","","","Server","0","0","0","0"
"K-00002733","RZV-BTUZDA-01","BEV System","Zentraler Datenabgleich","Supporting Services","Business","Server","3","5","16384","448"
"K-00003032","RZ2-ZDA-01","BEV System","","","","Server","0","0","0","0"
"K-00002946","IGELUMS-01","BEV System","Client (Endpoints)","Client Computing","Workplace","Server","0","0","0","0"
"K-00002950","LZZ-05","BEV System","LizenzServer Betrieb","Data Center","Infrastructure","Server","7","9","43008","375"
"K-00002884","CARoot","CARoot","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00002947","IGELUMS-02","Buchmüller Gerhard","Client (Endpoints)","Client Computing","Workplace","Server","0","0","0","0"
"K-00005545","APOSENTRY-02","APOSENTRY-02","","","","Server","0","0","0","0"
"K-00003043","RZ2-TES-08","EGA TU Domain Controller","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00003128","RZ1-SIS-01","","","","","Server","0","0","0","0"
"K-00003177","RZ1-ADS-03","Processing Admin Server","","","","Server","0","0","0","0"
"K-00000211","RZV-STD-01","BEV System","Zentraler Datenabgleich","Supporting Services","Business","Server","3","5","16384","448"
"K-00000232","RZV-POR-01","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00000231","RZV-POR-02","BEV System","Portalverbund intern","Supporting Services","Business","Server","16","17","103424","712"
"K-00002739","RZV-BTUWIN-01","BTU AD Domain Controller","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00003108","RZ2-ADM-01","BEV System","Portal - EGA Geodaten","Business Services","Business","Server","13","27","94208","610"
"K-00003146","RZ1-FTP-01","FTP Server","IT-Betrieb  ","Operations","Delivery","Server","6","11","23040","195"
"K-00003179","RZ1-ACC-01","","","","","Server","0","0","0","0"
"K-00003016","RZV-APS-01","","","","","Server","0","0","0","0"
"K-00000206","RZV-TAS-01","","","","","Server","0","0","0","0"
"K-00000249","RZV-OCR-01","","","","","Server","0","0","0","0"
"K-00000248","RZV-OCR-02","","","","","Server","0","0","0","0"
"K-00000282","RZV-IGM-01","BEV System","Client (Endpoints)","Client Computing","Workplace","Server","0","0","0","0"
"K-00000444","RZV-ETUORC-01","BEV System","Oracle-DB Plattform","Data","Platform","Server","32","72","898048","171455"
"K-00002749","RZV-BTUSIS-01","","","","","Server","0","0","0","0"
"K-00003005","RZV-BEUFIL-01","","","","","Server","0","0","0","0"
"K-00003049","RZ2-TAM-01","BEV System","","","","Server","0","0","0","0"
"K-00003080","RZ2-EGA-01","ex Sezka Wolfgang","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00003098","RZ2-BSD-01","","","","","Server","0","0","0","0"
"K-00003153","RZ1-EGA-01","ex Sezka Wolfgang","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00003158","RZ1-BSD-01","","","","","Server","0","0","0","0"
"K-00003123","RZ1-SQL-01","","","","","Server","0","0","0","0"
"K-00000239","RZV-ORC-01.alt","","","","","Server","0","0","0","0"
"K-00003077","RZ2-EGA-01N","","","","","Server","0","0","0","0"
"K-00003092","RZ2-APS-05","RZ2-APS-05","APOS: Postprocessing","Business Services","Business","Server","4","14","106496","592"
"K-00002910","ETUMAPPROXY-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00002702","RZV-ETUFIL-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00000446","RZV-ETUIMP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00000440","RZV-ETUWBC-01","BEV System","Geocodierung und GIP (GEC)","Business Services","Business","Server","8","12","30720","301"
"K-00002998","RZV-BEUTCP-01","OpenText TCP Installation","","","","Server","0","0","0","0"
"K-00003008","RZV-BEUARC-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003007","RZV-BEUCON-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003011","RZV-BEUAOT-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003054","RZ2-SOC-01","BEV System","","","","Server","0","0","0","0"
"K-00003060","RZ2-OTUAOT-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003059","RZ2-OTUARC-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003058","RZ2-OTUCON-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003057","RZ2-OTUTCP-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003062","RZ2-MAP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003061","RZ2-MAP-02","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003065","RZ2-IMP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003074","RZ2-ETUMAP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003075","RZ2-ETUAPP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003105","RZ2-APP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003104","RZ2-APP-02","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003102","RZ2-APS-02","","","","","Server","0","0","0","0"
"K-00003101","RZ2-APS-03","","","","","Server","0","0","0","0"
"K-00003091","RZ2-APS-04","","","","","Server","0","0","0","0"
"K-00003124","RZ1-SOC-03","BEV System","","","","Server","0","0","0","0"
"K-00003150","RZ1-ETUAPP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003149","RZ1-ETUMAP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003148","RZ1-ETUSOC-01","BEV System","","","","Server","0","0","0","0"
"K-00003136","RZ1-MAP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003135","RZ1-MAP-02","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003125","RZ1-SOC-01","BEV System","","","","Server","0","0","0","0"
"K-00003174","RZ1-APP-01","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003173","RZ1-APP-02","BEV System","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003168","RZ1-APS-05","","","","","Server","0","0","0","0"
"K-00002741","RZV-BTUSQL-02","BEV System","Microsoft SQL","Data","Platform","Server","3","6","16384","416"
"K-00000267","RZV-LTS-03","BEV System","","","","Server","0","0","0","0"
"K-00002863","BTUESPADM-01","","","","","Server","0","0","0","0"
"K-00003162","RZ1-BEUGIS-01","","","","","Server","0","0","0","0"
"K-00000283","RZV-I1T-02","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000229","RZV-PTR-04","Print Server","Drucker Hardware","Communication & Collaboration","Workplace","Server","0","0","0","0"
"K-00000221","RZV-RDS-01","BEV System","Server","Compute","Infrastructure","Server","4","6","36864","287"
"K-00000251","RZV-NBR-01","","","","","Server","0","0","0","0"
"K-00003178","RZ1-ADS-01","Processing Admin Server","","","","Server","0","0","0","0"
"K-00002895","DPU-SCAN-01","Scan VM für V5","IT-Betrieb  ","Operations","Delivery","Server","6","11","23040","195"
"K-00002728","RZV-C2C-21","","","","","Server","0","0","0","0"
"K-00002727","RZV-C2C-23","","","","","Server","0","0","0","0"
"K-00002721","RZV-CTS-81","","","","","Server","0","0","0","0"
"K-00000210","RZV-STF-01","","","","","Server","0","0","0","0"
"K-00002955","MST-OXXXX","","","","","Server","0","0","0","0"
"K-00003129","RZ1-MST-XX","","","","","Server","0","0","0","0"
"K-00003099","RZ2-CIT-01","","","","","Server","0","0","0","0"
"K-00003090","RZ2-CTS-61","","","","","Server","0","0","0","0"
"K-00003085","RZ2-CTS-62","","","","","Server","0","0","0","0"
"K-00003084","RZ2-CTS-63","","","","","Server","0","0","0","0"
"K-00003083","RZ2-CTS-64","","","","","Server","0","0","0","0"
"K-00003082","RZ2-CTS-65","","","","","Server","0","0","0","0"
"K-00002900","espadm-01","BEV System","EnterpriseServicePortal (ESP)","Application","Platform","Server","12","30","253952","1966"
"K-00000217","RZV-SLR-01","","","","","Server","0","0","0","0"
"K-00004971","wstriton01","","","","","Server","0","0","0","0"
"K-00000151","RZV-VVCSQL-01","BEV System","","","","Server","0","0","0","0"
"K-00000150","RZV-WBC-01","BEV System","Geocodierung und GIP (GEC)","Business Services","Business","Server","8","12","30720","301"
"K-00000149","RZV-WBC-02","BEV System","Geocodierung und GIP (GEC)","Business Services","Business","Server","8","12","30720","301"
"K-00000004","tmoffscan01","","","","","Server","0","0","0","0"
"K-00000214","RZV-SQL-01","","","","","Server","0","0","0","0"
"K-00000212","RZV-SQLPU-01","BEV System","","","","Server","0","0","0","0"
"K-00000205","RZV-TAS-02","RZV-TAS-02","Netzwerkmanagement","Network","Infrastructure","Server","4","20","43008","2213"
"K-00000216","RZV-SPI-01","BEV System","Software Asset Management (SAM)","Security and Compliance","Delivery","Server","6","9","71680","929"
"K-00000215","RZV-SPIDB-01","BEV System","Software Asset Management (SAM)","Security and Compliance","Delivery","Server","6","9","71680","929"
"K-00000200","RZV-THP-02","BEV System","LizenzServer Betrieb","Data Center","Infrastructure","Server","7","9","43008","375"
"K-00000196","RZV-VA0-01","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000195","RZV-VA0-03","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000194","RZV-VA0-04","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000193","RZV-VA0-06","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000192","RZV-VA0-07","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000191","RZV-VA0-11","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000190","RZV-VA0-12","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000189","RZV-VA0-19","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000188","RZV-VA0-23","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000187","RZV-VA0-30","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000186","RZV-VA0-32","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000185","RZV-VA0-34","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000184","RZV-VA0-40","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000183","RZV-VA0-41","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000182","RZV-VA0-42","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000181","RZV-VA0-45","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000180","RZV-VA0-46","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000179","RZV-VA0-47","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000178","RZV-VA0-49","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000177","RZV-VA0-50","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000176","RZV-VA0-51","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000175","RZV-VA0-55","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000174","RZV-VA0-56","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000173","RZV-VA0-57","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000172","RZV-VA0-60","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000171","RZV-VA0-62","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000170","RZV-VA0-63","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000169","RZV-VA0-65","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000168","RZV-VA0-66","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000167","RZV-VA0-67","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000166","RZV-VA0-68","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000164","RZV-VA0-72","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000165","RZV-VA0-73","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000163","RZV-VA0-75","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000162","RZV-VA0-76","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000161","RZV-VA0-80","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000160","RZV-VA0-81","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000159","RZV-VA0-83","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000158","RZV-VA0-85","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000157","RZV-VA0-90","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000156","RZV-VA0-91","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000155","RZV-VAT-63-3","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000230","RZV-PTR-03","Print Server","Drucker Hardware","Communication & Collaboration","Workplace","Server","0","0","0","0"
"K-00000228","RZV-PTR-11","Print Server","Drucker Hardware","Communication & Collaboration","Workplace","Server","0","0","0","0"
"K-00000227","RZV-PTR-12","Print Server","Drucker Hardware","Communication & Collaboration","Workplace","Server","0","0","0","0"
"K-00000226","RZV-PTR-13","Print Server","Drucker Hardware","Communication & Collaboration","Workplace","Server","0","0","0","0"
"K-00000225","RZV-PTR-14","Print Server","Drucker Hardware","Communication & Collaboration","Workplace","Server","0","0","0","0"
"K-00000252","RZV-NAV-02","BEV System","Navision","Finance","Shared and Corporate","Server","4","12","32768","2193"
"K-00000247","RZV-OEUADM-01","","","","","Server","0","0","0","0"
"K-00000276","RZV-KFSREP-01","","","","","Server","0","0","0","0"
"K-00000270","RZV-LSS-01","","","","","Server","0","0","0","0"
"K-00000264","RZV-LZZ-03","","","","","Server","0","0","0","0"
"K-00000263","RZV-LZZ-04","BEV System","LizenzServer Betrieb","Data Center","Infrastructure","Server","7","9","43008","375"
"K-00000261","RZV-MIS-01","BEV System","MisAlea","Data","Platform","Server","2","4","8192","148"
"K-00000281","RZV-IGM-03","BEV System","Client (Endpoints)","Client Computing","Workplace","Server","0","0","0","0"
"K-00000280","RZV-IMC-01","","","","","Server","0","0","0","0"
"K-00000284","RZV-I1T-01","BEV System","Digitale Katastralmappe (DKM)","Business Services","Business","Server","43","44","182272","2763"
"K-00000302","RZV-GSADM-01","BEV System","RasterdatenEngine (RDE)","Supporting Services","Business","Server","11","36","116736","12911"
"K-00002709","RZV-EPV-01","","","","","Server","0","0","0","0"
"K-00002725","RZV-COL-01","BEV System","Software Asset Management (SAM)","Security and Compliance","Delivery","Server","6","9","71680","929"
"K-00002744","RZV-BTUSPI-01","BEV System","Software Asset Management (SAM)","Security and Compliance","Delivery","Server","6","9","71680","929"
"K-00002743","RZV-BTUSPIDB-01","BEV System","Software Asset Management (SAM)","Security and Compliance","Delivery","Server","6","9","71680","929"
"K-00002742","RZV-BTUSQL-01","BEV System","Microsoft SQL","Data","Platform","Server","3","6","16384","416"
"K-00002735","RZV-BTUXIG-01","BEV System","Strukturierter Plan (STP)","Supporting Services","Business","Server","6","18","40960","565"
"K-00002734","RZV-BTUXIG-02","BEV System","Strukturierter Plan (STP)","Supporting Services","Business","Server","6","18","40960","565"
"K-00002985","RZV-BTUAPT-01","Zugangs-/AdminServer für GDB","Österreichischer Kataster Informationsportal","Business Services","Business","Server","12","34","67584","1313"
"K-00002767","RZV-BTUFIL-01","BEV System","","","","Server","0","0","0","0"
"K-00002755","RZV-BTUNAV-01","BEV System","Navision","Finance","Shared and Corporate","Server","4","12","32768","2193"
"K-00002956","NETBTEAM-01","","","","","Server","0","0","0","0"
"K-00003015","RZV-APT-01","G6/G7 Admin Server","Server","Compute","Infrastructure","Server","4","6","36864","287"
"K-00003009","RZV-BEUAPT-01","BEV System","Server","Compute","Infrastructure","Server","4","6","36864","287"
"K-00003029","RZV-ACC-02","Print Service Accounting","Drucker Hardware","Communication & Collaboration","Workplace","Server","0","0","0","0"
"K-00003030","RZV-ACC-01","","","","","Server","0","0","0","0"
"K-00003017","RZV-APOSQL-02","","","","","Server","0","0","0","0"
"K-00003027","RZV-ADD-01","","","","","Server","0","0","0","0"
"K-00003025","RZV-ADI-01","BEV System","Zentrale Datenablage","Data","Platform","Server","2","4","14336","577"
"K-00003053","RZ2-STF-01","","","","","Server","0","0","0","0"
"K-00003052","RZ2-STF-02","","","","","Server","0","0","0","0"
"K-00003042","RZ2-TES-16","BEV System","Portal - EGA Geodaten","Business Services","Business","Server","13","27","94208","610"
"K-00003036","RZ2-WIN-01","AD Domain Controller","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00003035","RZ2-WIN-02","AD Domain Controller","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00003033","RZ2-XIG-01","Sezka Wolfgang","","","","Server","0","0","0","0"
"K-00003031","RZV-3PR-01","","","","","Server","0","0","0","0"
"K-00003073","RZ2-ETUSOC-01","BEV System","","","","Server","0","0","0","0"
"K-00003111","RZ1-WIN-02","AD Domain Controller","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00003109","RZ1-XIG-01","BEV System","","","","Server","0","0","0","0"
"K-00003122","RZ1-STF-01","","","","","Server","0","0","0","0"
"K-00003081","RZ2-DDC-02","","","","","Server","0","0","0","0"
"K-00003107","RZ2-ADS-01","Processing Admin Server","","","","Server","0","0","0","0"
"K-00003103","RZ2-APS-01","","","","","Server","0","0","0","0"
"K-00003097","RZ2-BPM-01","","","","","Server","0","0","0","0"
"K-00003180","RZ0-ORT-01","eGA FileServer","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00003134","RZ1-MAT-01","Ressl Christine","Digitales_Oberflächenmodell_DOM","Business Services","Business","Server","0","0","0","0"
"K-00003133","RZ1-MAT-02","Ressl Christine","Digitales_Oberflächenmodell_DOM","Business Services","Business","Server","0","0","0","0"
"K-00003132","RZ1-MAT-03","Ressl Christine","Digitales_Oberflächenmodell_DOM","Business Services","Business","Server","0","0","0","0"
"K-00003131","RZ1-MAT-04","Ressl Christine","Digitales_Oberflächenmodell_DOM","Business Services","Business","Server","0","0","0","0"
"K-00003130","RZ1-MST-01","","","","","Server","0","0","0","0"
"K-00003159","RZ1-BPM-01","","","","","Server","0","0","0","0"
"K-00003155","RZ1-CRR-01","","","","","Server","0","0","0","0"
"K-00003154","RZ1-DDC-02","","","","","Server","0","0","0","0"
"K-00003175","RZ1-AOT-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003172","RZ1-APS-01","","","","","Server","0","0","0","0"
"K-00003171","RZ1-APS-02","","","","","Server","0","0","0","0"
"K-00003170","RZ1-APS-03","","","","","Server","0","0","0","0"
"K-00003169","RZ1-APS-04","","","","","Server","0","0","0","0"
"K-00003165","RZ1-ASS-01","","","","","Server","0","0","0","0"
"K-00000009","remotesec01","","","","","Server","0","0","0","0"
"K-00003182","RZ0-FIL-50","VDI File Server","FileServer","Storage","Infrastructure","Server","9","17","131584","1174192"
"K-00002829","APOSTEST","","","","","Server","0","0","0","0"
"K-00002891","DHCP-02","DHCP-02","","","","Server","0","0","0","0"
"K-00002899","EGASAP-01","BEV System","SAP - EGA Geodaten-Portal","Supporting Services","Business","Server","1","4","32768","182"
"K-00000013","ZLHRADM-01","BEV System","Luftfahrtshindernisregister (ZLHR)","Business Services","Business","Server","8","15","24576","295"
"K-00000436","RZV-FPM-01","Wimmer Michael","Fuhrpark Management","Property & Facility","Shared and Corporate","Server","2","4","16384","187"
"K-00003019","RZV-AMT-01","BEV System","Server","Compute","Infrastructure","Server","4","6","36864","287"
"K-00000253","RZV-NAV-01","BEV System","Navision","Finance","Shared and Corporate","Server","4","12","32768","2193"
"K-00002954","MST-O2010","","","","","Server","0","0","0","0"
"K-00003112","RZ1-WIN-01","AD Domain Controller","Active Directory (AD)","Network","Infrastructure","Server","14","24","65536","1136"
"K-00003138","RZ1-LDC-01","BEV System","","","","Server","0","0","0","0"
"K-00003119","RZ1-TCP-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003156","RZ1-CON-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00003166","RZ1-ARC-01","BEV System","OpenText TCP","Data","Platform","Server","12","24","40960","75190"
"K-00000019","W10CHECKPOINT","","","","","Server","0","0","0","0"
"K-00002920","GEUVW7-11","","","","","Server","0","0","0","0"
"K-00002927","GEUVW7-29","","","","","Server","0","0","0","0"
"K-00002929","GEUVW7-31","ex Gaber Günter","GIS - EGA Geodaten-Portal","Supporting Services","Business","Server","31","96","421888","33898"
"K-00002930","GEUVW7-32","ex Stummer Hubert","","","","Server","0","0","0","0"
"K-00002928","GEUVW7-28","","","","","Server","0","0","0","0"
"K-00000344","RZV-GEUVW7-02","","","","","Server","0","0","0","0"
"K-00000343","RZV-GEUVW7-07","BEV System","Wissensmanagement BEV IT","Development","Delivery","Server","0","0","0","0"
"K-00000316","RZV-GEUVW7-08","ex Geyrhofer Martin","","","","Server","0","0","0","0"
"K-00002924","GEUVW7-24","BEV System","Kataster Führung","Business Services","Business","Server","8","17","78848","514"
"K-00002925","GEUVW7-25","BEV System","","","","Server","0","0","0","0"
