"Komponente Nr.","Gerätename","Systemname","Service-Name","Service-Typ","Service-Klasse","Komponentenklasse","VMs","CPU","RAM (MB)","Storage (GB)"
"K-00002196","BS-S4XEAF0","Loitzenbauer Christoph","","","","FAT Client","0","0","0","0"
"K-00002199","BS-S4XEAF9","Schmid Sophia","","","","FAT Client","0","0","0","0"
"K-00002200","BS-S4XEAG4","Kartographie 1","","","","FAT Client","0","0","0","0"
"K-00002201","W001-V4-B-S49","Kartographie 2, Raum: A316","","","","FAT Client","0","0","0","0"
"W001-V3-B-S08","","","","","","FAT Client","0","0","0","0"
"W001-V4-B-S15","","","","","","FAT Client","0","0","0","0"
"W001-V4-B-S23","","","","","","FAT Client","0","0","0","0"
"K-00002191","BS-S4XDZZ4","Vincenz Martin","","","","FAT Client","0","0","0","0"
"K-00002192","BS-S4XDZZ9","Applikationstest","","","","FAT Client","0","0","0","0"
"K-00002193","W001-V4-B-S28","","","","","FAT Client","0","0","0","0"
"K-00002203","BS-S4XEAC5","Kraus Karl","","","","FAT Client","0","0","0","0"
"W001-V4-B-S05","","","","","","FAT Client","0","0","0","0"
"W001-V4-B-S19","W001-V4-B-S19","","","","","FAT Client","0","0","0","0"
"K-00002195","BS-S4XEAB2","Falkensteiner Regina","","","","FAT Client","0","0","0","0"
"W001-V4-B-S38","","","","","","FAT Client","0","0","0","0"
"K-00002197","BS-S4XEAF4","Freitag Klaus","","","","FAT Client","0","0","0","0"
"W001-V4-B-S51","","","","","","FAT Client","0","0","0","0"
"W001-I3-M-N34","W001-I3-M-N34","","","","","Laptop","0","0","0","0"
"K-00002509","W120-EA-B-N08","Stefan Schwarz","","","","Laptop","0","0","0","0"
"K-00002458","W003-E2-M-N54","Zechner Georg","","","","Laptop","0","0","0","0"
"K-00002558","W720-EA-B-N06","ex Gschanes Gernot","","","","Laptop","0","0","0","0"
"K-00002500","W010-EA-B-N13","Gürcetin Nashu","","","","Laptop","0","0","0","0"
"K-00002570","W810-EA-B-N06","Fratzl Egon","","","","Laptop","0","0","0","0"
"K-00002486","W003-GE-M-N11","E231 - Länge, Fläche, Winkel, Fotometrie (4.OG-207)","","","","Laptop","0","0","0","0"
"K-00002560","BN-R90BEM7D","Kroisenbrunner Siegfried","","","","Laptop","0","0","0","0"
"W120-EA-B-N02","W120-EA-B-N02","","","","","Laptop","0","0","0","0"
"K-00002541","W630-EA-B-N01","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002544","W630-EA-B-N04","Klar Gerhard","","","","Laptop","0","0","0","0"
"K-00002548","W630-EA-B-N11","Neuwirth Georg","","","","Laptop","0","0","0","0"
"W630-EA-B-N07","W630-EA-B-N07","","","","","Laptop","0","0","0","0"
"K-00002542","W630-EA-B-N02","Gschiel Christian","","","","Laptop","0","0","0","0"
"K-00002416","W003-E1-B-N03","","","","","Laptop","0","0","0","0"
"K-00002532","W550-VA-B-N02","Grubinger Anton","","","","Laptop","0","0","0","0"
"K-00002373","BN-R90BEM60","Gammer Harald","","","","Laptop","0","0","0","0"
"W001-I3-B-N13","W001-I3-B-N13","","","","","Laptop","0","0","0","0"
"W001-I3-B-N26","W001-I3-B-N26","","","","","Laptop","0","0","0","0"
"K-00002475","W003-E3-M-N05","Solid Works E2","","","","Laptop","0","0","0","0"
"W010-EA-B-N15","W010-EA-B-N15","","","","","Laptop","0","0","0","0"
"K-00002524","W450-EA-B-N04","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002426","W003-E1-M-N30","E112 - Elektrische Energie (1.OG-311)","","","","Laptop","0","0","0","0"
"K-00002447","W003-E2-M-N06","E23 - Dimens. Größen, Frequenz, Zeit und Fotometrie (HP-205)","","","","Laptop","0","0","0","0"
"W003-E2-M-N15","","","","","","Laptop","0","0","0","0"
"K-00002456","W003-E2-M-N44","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002459","W003-E2-M-N57","E231 - Länge, Fläche, Winkel, Fotometrie (HP-207)","","","","Laptop","0","0","0","0"
"K-00002460","W003-E2-M-N58","E233 - Frequenz, Zeit (HP-306)","","","","Laptop","0","0","0","0"
"K-00002462","W003-E2-M-N62","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002425","W003-E1-M-N28","E111 - Elektrische Größen (1.OG-209)","","","","Laptop","0","0","0","0"
"K-00002448","W003-E2-M-N14","E212 - Druck, Kraft, Härte (TP-313)","","","","Laptop","0","0","0","0"
"K-00002452","W003-E2-M-N39","E2 Labor","","","","Laptop","0","0","0","0"
"K-00002455","W003-E2-M-N43","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"W003-E2-B-N26","W003-E2-B-N26","","","","","Laptop","0","0","0","0"
"K-00002451","W003-E2-M-N34","Riebner Thomas","","","","Laptop","0","0","0","0"
"K-00002573","W810-EA-B-N10","Lechthaler Thomas","","","","Laptop","0","0","0","0"
"K-00002424","W003-E1-M-N26","Entwicklungslabor (1.OG-1.15)","","","","Laptop","0","0","0","0"
"W003-E2-M-N63","","","","","","Laptop","0","0","0","0"
"K-00002482","W003-E3-M-N23","Lillich Niklas","","","","Laptop","0","0","0","0"
"K-00002367","W001-I1-B-N02","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002378","BN-R90BEM13","Pock Herfried","","","","Laptop","0","0","0","0"
"K-00002377","W001-I3-B-N22","","","","","Laptop","0","0","0","0"
"K-00002564","BN-R90BEM2M","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002553","W630-VA-B-N04","Primas Ernst","","","","Laptop","0","0","0","0"
"K-00002492","W010-EA-B-N02","Gundl Andreas","","","","Laptop","0","0","0","0"
"K-00002537","W560-EA-B-N05","Kaltenleitner Herbert","","","","Laptop","0","0","0","0"
"K-00002520","W420-VA-B-N05","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002360","W001-GA-B-N03","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"W001-GA-B-N09","W001-GA-B-N09","","","","","Laptop","0","0","0","0"
"K-00002363","W001-GA-B-N18","Kuso Stefan","","","","Laptop","0","0","0","0"
"W001-I2-B-N10","","","","","","Laptop","0","0","0","0"
"W001-I2-B-N06","","","","","","Laptop","0","0","0","0"
"K-00002404","W001-V1-B-N36","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002038","BN-R90BEM5L","Vlasich Karl","","","","FAT Client","0","0","0","0"
"W490-VA-B-N10","W490-VA-B-N10","","","","","Laptop","0","0","0","0"
"W630-EA-B-N05","W630-EA-B-N05","","","","","Laptop","0","0","0","0"
"K-00002401","W001-V1-B-N29","Lukaseder Klaus","","","","Laptop","0","0","0","0"
"W004-E1-M-N01","","","","","","Laptop","0","0","0","0"
"K-00002379","BN-R90BEM3C","Reitsamer Christa","","","","Laptop","0","0","0","0"
"K-00002554","W720-EA-B-N01","","","","","Laptop","0","0","0","0"
"K-00002577","W910-EA-B-N03","Quinn Andrew","","","","Laptop","0","0","0","0"
"K-00002567","W810-EA-B-N03","Schmid Erwin","","","","Laptop","0","0","0","0"
"K-00002576","W910-EA-B-N02","Haunschmidt Markus","","","","Laptop","0","0","0","0"
"K-00002505","W120-EA-B-N03","Penz Stefan","","","","Laptop","0","0","0","0"
"K-00002506","W120-EA-B-N04","Jungwirth Arnold","","","","Laptop","0","0","0","0"
"K-00002508","W120-EA-B-N07","ausgeschiedene Systeme","","","","Laptop","0","0","0","0"
"K-00002527","W450-EA-B-N07","Leitner Reinhold","","","","Laptop","0","0","0","0"
"K-00002529","W450-EA-B-N09","Bräuer Michael","","","","Laptop","0","0","0","0"
"K-00002561","W720-EA-B-N09","Grothaus Dominic","","","","Laptop","0","0","0","0"
"W001-I4-B-N03","","","","","","Laptop","0","0","0","0"
