"Title","Primary hostaddress","Host in cluster","Running on host / cluster","CMDB status","Operating system","GeneratedUniqueID"
"BTUMOODLE-01","","RZ2-ESX-36","CL_DMZ","in operation","Rocky Linux 8.6","[""BTUMOODLE-01""]"
"BTUNEX-1","","RZ2-ESX-36","CL_DMZ","in operation","Rocky Linux 8.5","[""BTUNEX-1""]"
"BTUSENTRY-1","10.75.10.11","RZ1-ESX-36","CL_DMZ","in operation","CentOS Linux 7.9.2009","[""BTUSENTRY-1""]"
"BTUVDE-1","","RZ2-ESX-56.bev.int","CL_DMZ-TU","in operation","Rocky Linux 8.9","[""BTUVDE-1""]"
"BTUVDE-2","10.75.2.122","RZ2-ESX-56.bev.int","CL_DMZ-TU","in operation","Rocky Linux 8.9","[""BTUVDE-2""]"
"BTUVDE-3","","RZ2-ESX-56.bev.int","CL_DMZ-TU","in operation","Rocky Linux 8.9","[""BTUVDE-3""]"
"BTUVDE-4","","RZ2-ESX-56.bev.int","CL_DMZ-TU","in operation","Rocky Linux 8.9","[""BTUVDE-4""]"
"BTUVDE-5","10.75.2.125","RZ2-ESX-56.bev.int","CL_DMZ-TU","in operation","Rocky Linux 8.9","[""BTUVDE-5""]"
"BTUVDE-6","","RZ2-ESX-56.bev.int","CL_DMZ-TU","in operation","Rocky Linux 8.9","[""BTUVDE-6""]"
"BTUVDE-7","10.75.2.127","RZ2-ESX-56.bev.int","CL_DMZ-TU","in operation","Rocky Linux 8.9","[""BTUVDE-7""]"
"BTUVDE-8","10.75.2.128","RZ2-ESX-56.bev.int","CL_DMZ-TU","in operation","Rocky Linux 8.9","[""BTUVDE-8""]"
"BTUVEKDB-01","10.75.2.65","RZ2-ESX-37","CL_DMZ","in operation","CentOS Linux 7.9.2009","[""BTUVEKDB-01""]"
"BTUVEKDB-02","","RZ1-ESX-36","CL_DMZ","in operation","CentOS Linux 7.9.2009","[""BTUVEKDB-02""]"
"BTUWORKBENCHREPORT-01","10.75.2.38","RZ2-ESX-37","CL_DMZ","in operation","Rocky Linux 9.6","[""BTUWORKBENCHREPORT-01""]"
"BTUZDA-03","10.75.2.143","RZ2-ESX-37","CL_DMZ","in operation","Rocky Linux 8.5","[""BTUZDA-03""]"
"BTUZDA-03","10.75.2.143","RZ1-ESX-37","CL_DMZ","in operation","Rocky Linux 9.4","[""BTUZDA-03""]"
"BUILD-01","10.2.3.18","rz2-esx-32.bev.int","CL_PU","in operation","CentOS Linux 7.9.2009","[""BUILD-01""]"
"CAI-01.bev.int","10.2.1.185","rz2-esx-32.bev.int","CL_PU","in operation","Windows Server 2019 Datacenter","[""CAI-01.bev.int""]"
"CAI-02.bev.int","10.2.1.186","RZ1-ESX-34","CL_PU","in operation","Windows Server 2019 Datacenter","[""CAI-02.bev.int""]"
"CAI-02.bev.int","10.2.1.186","RZ1-ESX-34","CL_PU","in operation","Windows Server 2019 Datacenter","[""CAI-02.bev.int""]"
"CAROOT","","RZ1-ESX-34","CL_PU","in operation","Windows Server 2019","[""CAROOT""]"
"CentOS-REPO","","RZ1-ESX-34","CL_PU","in operation","CentOS","[""CentOS-REPO""]"
"CMDBTEST-01","","RZ1-ESX-33","CL_PU","in operation","CentOS","[""CMDBTEST-01""]"
"cpepmgr03","10.2.1.53","rz2-esx-32.bev.int","CL_PU","in operation","Red Hat Enterprise Linux 7","[""cpepmgr03""]"
"CPPM01","10.2.1.221","RZ2-ESX-50","CL_PU","in operation","Other 4.x or later Linux","[""CPPM01""]"
"CPPM11","10.2.1.211","RZ1-ESX-31","CL_PU","in operation","Other 4.x or later Linux","[""CPPM11""]"
"CPPM12","10.2.1.212","RZ2-ESX-31","CL_PU","in operation","Other 4.x or later Linux","[""CPPM12""]"
"ctxnsx-01.bev.int","10.2.9.128","RZ2-ESX-31","CL_PU","in operation","Other 4.x or later Linux","[""ctxnsx-01.bev.int""]"
