UniqueID;Title;Primary hostaddress;Host in cluster;Running on host / cluster;CMDB status;Operating system
BEUKFS-1_10.70.5.62_RZ1-ESX-41;BEUKFS-1;10.70.5.62;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEULDAP-1_10.70.5.65_rz2-esx-51.bev.int;BEULDAP-1;10.70.5.65;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux 9.6
BEULDAP-2_10.70.5.66_RZ1-ESX-41;BEULDAP-2;10.70.5.66;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEUPOCVMW-03.beu.local_10.70.2.121_RZ2-ESX-41;BEUPOCVMW-03.beu.local;10.70.2.121;RZ2-ESX-41;CL_BEU;in operation;Windows Server 2019
BEUPTL-2_10.70.5.61_RZ1-ESX-41;BEUPTL-2;10.70.5.61;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEUQUEUE-1_10.70.2.51;BEUQUEUE-1;10.70.2.51;;;in operation;Rocky Linux 8.4
BEUQUEUE-1_10.70.2.51_rz2-esx-51.bev.int;BEUQUEUE-1;10.70.2.51;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux 9.6
BEUQUEUE-2;BEUQUEUE-2;;;;in operation;Rocky Linux 8.4
BEUQUEUE-2_10.70.2.52_RZ1-ESX-41;BEUQUEUE-2;10.70.2.52;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEUQUEUE-3_10.70.2.53;BEUQUEUE-3;10.70.2.53;;;in operation;Rocky Linux 8.4
BEUQUEUE-3_10.70.2.53_RZ1-ESX-41;BEUQUEUE-3;10.70.2.53;RZ1-ESX-41;CL_BEU;in operation;Rocky Linux 9.6
BEUREVDB-01_10.70.5.80_rz2-esx-51.bev.int;BEUREVDB-01;10.70.5.80;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux 9.5
BEUREVDB-01_10.70.5.80_rz2-esx-51.bev.int;BEUREVDB-01;10.70.5.80;rz2-esx-51.bev.int;CL_BEU;in operation;Rocky Linux 9.5
BEUSENTRY-1_RZ2-ESX-41;BEUSENTRY-1;;RZ2-ESX-41;CL_BEU;in operation;CentOS Linux 7.9.2009
BEUVW10-99_10.70.150.99_RZ2-ESX-41;BEUVW10-99;10.70.150.99;RZ2-ESX-41;CL_BEU;in operation;Windows 10
BEUVW10-99_10.70.150.99_RZ2-ESX-41;BEUVW10-99;10.70.150.99;RZ2-ESX-41;CL_BEU;in operation;Windows 10
BPUINAPP-01_10.2.6.115_RZ1-ESX-32;BPUINAPP-01;10.2.6.115;RZ1-ESX-32;CL_PU;in operation;Rocky Linux 9.5
BPUINDB-01_10.2.6.116_RZ1-ESX-33;BPUINDB-01;10.2.6.116;RZ1-ESX-33;CL_PU;in operation;Rocky Linux 9.5
BTU-KUBCP-01_10.75.1.161_RZ1-ESX-37;BTU-KUBCP-01;10.75.1.161;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.5
BTU-KUBLOG-01_10.75.1.163_RZ1-ESX-36;BTU-KUBLOG-01;10.75.1.163;RZ1-ESX-36;CL_DMZ;in operation;Rocky Linux 9.5
BTU-KUBLOG-01_10.75.1.163_RZ1-ESX-36;BTU-KUBLOG-01;10.75.1.163;RZ1-ESX-36;CL_DMZ;in operation;Rocky Linux 9.5
BTU-KUBWN-01_10.75.1.162_RZ1-ESX-37;BTU-KUBWN-01;10.75.1.162;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.5
BTU-KUBWN-02_10.75.1.164_RZ1-ESX-37;BTU-KUBWN-02;10.75.1.164;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.5
BTU-KUBWN-02_10.75.1.164_RZ1-ESX-37;BTU-KUBWN-02;10.75.1.164;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.5
BTUAST-01_RZ1-ESX-37;BTUAST-01;;RZ1-ESX-37;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUAST-02_10.6.6.13_RZ1-ESX-36;BTUAST-02;10.6.6.13;RZ1-ESX-36;CL_DMZ;in operation;Rocky Linux 8.6
BTUDBDE-01_10.75.2.37_RZ1-ESX-36;BTUDBDE-01;10.75.2.37;RZ1-ESX-36;CL_DMZ;in operation;Rocky Linux 9.4
BTUDC-01_10.75.2.81_RZ2-ESX-36;BTUDC-01;10.75.2.81;RZ2-ESX-36;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUDCCDB-01_10.75.2.39_RZ1-ESX-36;BTUDCCDB-01;10.75.2.39;RZ1-ESX-36;CL_DMZ;in operation;Rocky Linux 9.6
BTUESPADM-01.btu.local_10.75.1.150_RZ2-ESX-36;BTUESPADM-01.btu.local;10.75.1.150;RZ2-ESX-36;CL_DMZ;in operation;Windows Server 2008 R2
BTUESPPRO-01.btu.local_10.75.1.152_RZ1-ESX-36;BTUESPPRO-01.btu.local;10.75.1.152;RZ1-ESX-36;CL_DMZ;in operation;Windows Server 2019
BTUESPPRO-02_10.75.1.154_RZ2-ESX-37;BTUESPPRO-02;10.75.1.154;RZ2-ESX-37;CL_DMZ;in operation;Rocky Linux 9.4
BTUESPVEI-01_10.75.1.153_RZ1-ESX-37;BTUESPVEI-01;10.75.1.153;RZ1-ESX-37;CL_DMZ;in operation;CentOS Linux 8.2.2004
BTUESPVMW-01.btu.local_10.75.1.151_RZ1-ESX-36;BTUESPVMW-01.btu.local;10.75.1.151;RZ1-ESX-36;CL_DMZ;in operation;Windows Server 2019
BTUESPVMW-02_10.75.1.155_RZ2-ESX-37;BTUESPVMW-02;10.75.1.155;RZ2-ESX-37;CL_DMZ;in operation;Rocky Linux 9.6
BTUGIT-1_10.75.2.113_RZ1-ESX-36;BTUGIT-1;10.75.2.113;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUGRUPU-1_RZ1-ESX-36;BTUGRUPU-1;;RZ1-ESX-36;CL_DMZ;in operation;CentOS Linux 7.8.2003
BTUGRUPU-2_10.75.2.62_RZ2-ESX-37;BTUGRUPU-2;10.75.2.62;RZ2-ESX-37;CL_DMZ;in operation;CentOS Linux 7.9.2009
BTUINAPP-01_10.75.2.115_RZ1-ESX-37;BTUINAPP-01;10.75.2.115;RZ1-ESX-37;CL_DMZ;in operation;Rocky Linux 9.3
BTUINDB-01_10.75.2.116_RZ2-ESX-37;BTUINDB-01;10.75.2.116;RZ2-ESX-37;CL_DMZ;in operation;Rocky Linux 9.3
